timestamp,bh1750_cl,bh1750_cr,bh1750_il,bh1750_ir,ldr_left,ldr_right,voltage,current,power,angle_pulse,action_label,confidence,limit_sw_left,limit_sw_right
2026-05-10T06:00:00,12,8,5,3,210,195,11.82,0.18,2.13,0,0,0.55,0,0
2026-05-10T06:10:00,28,14,9,6,285,260,11.91,0.31,3.69,0,0,0.57,0,0
2026-05-10T06:20:00,54,22,18,11,380,320,12.01,0.52,6.25,0,0,0.60,0,0
2026-05-10T06:30:00,112,38,42,21,490,395,12.10,0.78,9.44,0,0,0.62,0,0
2026-05-10T06:40:00,198,55,88,34,575,440,12.18,1.01,12.30,0,0,0.63,0,0
2026-05-10T06:50:00,310,72,165,48,640,480,12.22,1.18,14.42,0,0,0.65,0,0
2026-05-10T07:00:00,445,88,280,62,695,510,12.28,1.35,16.58,0,0,0.66,0,0
2026-05-10T07:10:00,580,105,398,78,745,530,12.32,1.48,18.23,0,1,0.72,0,0
2026-05-10T07:20:00,712,118,510,92,792,548,12.38,1.62,20.06,512,1,0.78,0,0
2026-05-10T07:30:00,840,128,618,105,830,562,12.42,1.74,21.61,512,1,0.82,0,0
2026-05-10T07:40:00,945,135,712,115,861,574,12.46,1.85,23.05,512,0,0.69,0,0
2026-05-10T07:50:00,1020,140,798,122,882,584,12.49,1.93,24.11,512,0,0.67,0,0
2026-05-10T08:00:00,1095,145,878,128,902,592,12.51,2.00,25.02,512,0,0.65,0,0
2026-05-10T08:10:00,1180,148,958,132,922,598,12.54,2.08,26.09,512,1,0.75,0,0
2026-05-10T08:20:00,1265,150,1038,135,942,604,12.57,2.15,27.03,1024,1,0.79,0,0
2026-05-10T08:30:00,1355,151,1118,137,958,610,12.60,2.22,28.01,1024,1,0.83,0,0
2026-05-10T08:40:00,1440,152,1198,138,972,616,12.62,2.28,28.77,1024,0,0.68,0,0
2026-05-10T08:50:00,1520,152,1275,138,985,622,12.64,2.34,29.58,1024,0,0.66,0,0
2026-05-10T09:00:00,1598,152,1352,138,996,628,12.66,2.40,30.38,1024,1,0.77,0,0
2026-05-10T09:10:00,1682,151,1432,137,1006,634,12.68,2.46,31.19,1536,1,0.81,0,0
2026-05-10T09:20:00,1762,150,1508,136,1015,640,12.70,2.52,32.00,1536,1,0.84,0,0
2026-05-10T09:30:00,1840,149,1582,135,1022,646,12.72,2.57,32.69,1536,0,0.70,0,0
2026-05-10T09:40:00,1915,147,1655,133,1028,652,12.73,2.62,33.35,1536,0,0.67,0,0
2026-05-10T09:50:00,1988,145,1725,131,1033,658,12.74,2.67,34.02,1536,1,0.73,0,0
2026-05-10T10:00:00,2058,143,1792,128,1037,663,12.75,2.72,34.68,2048,1,0.76,0,0
2026-05-10T10:10:00,2125,140,1858,125,1040,668,12.76,2.76,35.25,2048,1,0.80,0,0
2026-05-10T10:20:00,2190,137,1922,122,1042,673,12.77,2.80,35.76,2048,0,0.64,0,0
2026-05-10T10:30:00,2252,133,1984,118,1043,677,12.77,2.84,36.27,2048,0,0.63,0,0
2026-05-10T10:40:00,2310,129,2042,114,1043,681,12.77,2.87,36.66,2048,1,0.74,0,0
2026-05-10T10:50:00,2365,125,2098,110,1042,685,12.78,2.91,37.20,2560,1,0.77,0,0
2026-05-10T11:00:00,2412,120,2148,105,1040,689,12.78,2.94,37.58,2560,1,0.88,0,0
2026-05-10T11:10:00,2455,115,2192,100,1037,692,12.79,2.97,38.00,2560,1,0.91,0,0
2026-05-10T11:20:00,2490,110,2232,95,1033,695,12.79,3.00,38.37,2560,1,0.93,0,0
2026-05-10T11:30:00,2518,104,2266,90,1028,698,12.80,3.02,38.66,3072,1,0.94,0,0
2026-05-10T11:40:00,2540,98,2295,84,1022,700,12.80,3.04,38.91,3072,1,0.93,0,0
2026-05-10T11:50:00,2554,92,2318,78,1015,702,12.81,3.06,39.19,3072,1,0.92,0,0
2026-05-10T12:00:00,2560,86,2335,72,1007,703,12.81,3.07,39.32,3072,1,0.90,0,0
2026-05-10T12:10:00,2555,79,2345,65,998,704,12.81,3.07,39.32,3072,1,0.90,0,0
2026-05-10T12:20:00,2542,72,2348,58,988,704,12.81,3.07,39.32,3072,1,0.91,0,0
2026-05-10T12:30:00,2522,65,2345,51,977,704,12.81,3.07,39.32,3584,1,0.92,0,0
2026-05-10T12:40:00,2494,58,2335,44,965,703,12.80,3.06,39.19,3584,1,0.93,0,0
2026-05-10T12:50:00,2458,50,2318,37,952,702,12.80,3.05,39.04,3584,1,0.92,0,0
2026-05-10T13:00:00,2414,43,2295,30,938,700,12.80,3.04,38.91,3584,1,0.90,0,0
2026-05-10T13:10:00,2362,36,2265,23,923,698,12.80,3.02,38.66,3584,1,0.88,0,0
2026-05-10T13:20:00,2302,29,2229,17,907,695,12.79,3.00,38.37,4096,1,0.87,0,0
2026-05-10T13:30:00,2234,23,2187,12,890,692,12.79,2.97,38.00,4096,1,0.86,0,0
2026-05-10T13:40:00,2158,18,2138,8,872,689,12.78,2.94,37.58,4096,1,0.85,0,0
2026-05-10T13:50:00,2074,14,2082,6,853,685,12.78,2.91,37.20,4096,1,0.83,0,0
2026-05-10T14:00:00,1982,11,2019,5,833,681,12.77,2.87,36.66,4096,1,0.80,0,0
2026-05-10T14:10:00,1882,9,1950,5,812,677,12.77,2.84,36.27,4608,1,0.78,0,0
2026-05-10T14:20:00,1776,8,1875,5,790,673,12.77,2.80,35.76,4608,1,0.76,0,0
2026-05-10T14:30:00,1662,8,1793,5,768,668,12.76,2.76,35.25,4608,0,0.68,0,0
2026-05-10T14:40:00,1542,8,1705,5,745,663,12.75,2.72,34.68,4608,0,0.66,0,0
2026-05-10T14:50:00,1415,8,1611,5,721,658,12.74,2.67,34.02,4608,0,0.64,0,0
2026-05-10T15:00:00,1282,9,1510,5,696,652,12.73,2.62,33.35,5120,0,0.63,0,0
2026-05-10T15:10:00,1144,11,1405,6,670,646,12.72,2.57,32.69,5120,0,0.62,0,0
2026-05-10T15:20:00,1002,14,1294,8,644,640,12.70,2.52,32.00,5120,0,0.61,0,0
2026-05-10T15:30:00,858,18,1180,11,617,634,12.68,2.46,31.19,5120,0,0.60,0,0
2026-05-10T15:40:00,712,23,1062,14,589,628,12.66,2.40,30.38,5120,0,0.59,0,0
2026-05-10T15:50:00,568,30,941,18,561,622,12.64,2.34,29.58,5632,0,0.58,0,0
2026-05-10T16:00:00,428,38,818,23,532,616,12.62,2.28,28.77,5632,0,0.57,0,0
2026-05-10T16:10:00,295,48,695,29,502,610,12.60,2.22,28.01,5632,0,0.56,0,0
2026-05-10T16:20:00,172,60,572,36,472,604,12.57,2.15,27.03,5632,0,0.55,0,0
2026-05-10T16:30:00,75,74,452,44,442,598,12.54,2.08,26.09,5632,0,0.55,1,0
2026-05-10T16:35:00,60,76,440,45,438,596,12.53,2.07,25.94,5828,0,0.55,0,0
2026-05-10T16:40:00,38,90,338,54,412,592,12.51,2.00,25.02,5828,0,0.54,0,0
2026-05-10T16:50:00,15,108,232,65,381,584,12.49,1.93,24.11,5828,0,0.53,0,0
2026-05-10T17:00:00,5,128,138,78,350,574,12.46,1.85,23.05,5828,0,0.52,0,0
2026-05-10T17:10:00,2,148,62,92,318,562,12.42,1.74,21.61,5828,0,0.51,0,0
2026-05-10T17:20:00,1,168,18,106,285,548,12.38,1.62,20.06,5828,0,0.50,0,0
2026-05-10T17:30:00,0,185,4,118,252,530,12.32,1.48,18.23,5828,0,0.49,0,0
2026-05-10T17:40:00,0,198,1,130,219,510,12.28,1.35,16.58,5828,0,0.48,0,0
2026-05-10T17:50:00,0,208,0,138,186,488,12.22,1.18,14.42,5828,0,0.47,0,0
2026-05-10T18:00:00,0,214,0,144,154,462,12.18,1.01,12.30,5828,0,0.47,0,0
2026-05-10T18:10:00,0,215,0,148,124,432,12.10,0.78,9.44,5828,0,0.46,0,0
2026-05-10T18:20:00,0,212,0,150,96,398,12.01,0.52,6.25,5828,0,0.46,0,0
2026-05-10T18:30:00,0,204,0,148,71,358,11.91,0.31,3.69,5828,0,0.45,0,0
2026-05-10T18:40:00,0,190,0,142,50,312,11.82,0.18,2.13,5828,0,0.45,0,0
